Time,Oxygen Level,Pulse Rate,Motion
11:47:34 AM Jun 14 2023,96,86,22
11:47:38 AM Jun 14 2023,96,87,0
11:47:42 AM Jun 14 2023,96,82,0
11:47:46 AM Jun 14 2023,96,81,0
11:47:50 AM Jun 14 2023,96,84,0
11:47:54 AM Jun 14 2023,96,85,0
11:47:58 AM Jun 14 2023,96,84,1
11:48:02 AM Jun 14 2023,97,83,26
11:48:06 AM Jun 14 2023,96,81,0
11:48:10 AM Jun 14 2023,96,79,0
11:48:14 AM Jun 14 2023,96,81,0
11:48:18 AM Jun 14 2023,96,83,0
11:48:22 AM Jun 14 2023,97,85,0
11:48:26 AM Jun 14 2023,97,88,1
11:48:30 AM Jun 14 2023,96,91,0
11:48:34 AM Jun 14 2023,96,92,0
11:48:38 AM Jun 14 2023,96,93,0
11:48:42 AM Jun 14 2023,96,93,0
11:48:46 AM Jun 14 2023,96,89,0
11:48:50 AM Jun 14 2023,96,87,0
11:48:54 AM Jun 14 2023,96,88,2
11:48:58 AM Jun 14 2023,96,89,0
11:49:02 AM Jun 14 2023,96,90,0
11:49:06 AM Jun 14 2023,96,90,2
11:49:10 AM Jun 14 2023,96,88,0
11:49:14 AM Jun 14 2023,96,86,0
11:49:18 AM Jun 14 2023,96,84,0
11:49:22 AM Jun 14 2023,96,83,0
11:49:26 AM Jun 14 2023,97,83,0
11:49:30 AM Jun 14 2023,97,82,0
11:49:34 AM Jun 14 2023,97,82,0
11:49:38 AM Jun 14 2023,97,83,0
11:49:42 AM Jun 14 2023,96,81,0
11:49:46 AM Jun 14 2023,96,80,0
11:49:50 AM Jun 14 2023,96,82,0
11:49:54 AM Jun 14 2023,97,82,0
11:49:58 AM Jun 14 2023,97,81,0
11:50:02 AM Jun 14 2023,97,82,0
11:50:06 AM Jun 14 2023,97,83,0
