Time,Oxygen Level,Pulse Rate,Motion
07:09:01 PM May 01 2023,94,63,0
07:09:05 PM May 01 2023,93,59,16
07:09:09 PM May 01 2023,93,58,0
07:09:13 PM May 01 2023,94,61,0
07:09:17 PM May 01 2023,95,59,0
07:09:21 PM May 01 2023,95,61,1
07:09:25 PM May 01 2023,95,62,0
07:09:29 PM May 01 2023,95,59,0
07:09:33 PM May 01 2023,95,59,0
07:09:37 PM May 01 2023,95,59,0
07:09:41 PM May 01 2023,95,59,0
07:09:45 PM May 01 2023,95,59,0
07:09:49 PM May 01 2023,95,52,0
07:09:53 PM May 01 2023,95,53,0
07:09:57 PM May 01 2023,95,60,0
07:10:01 PM May 01 2023,95,59,1
07:10:05 PM May 01 2023,95,59,0
07:10:09 PM May 01 2023,94,59,0
07:10:13 PM May 01 2023,94,60,0
07:10:17 PM May 01 2023,94,60,0
07:10:21 PM May 01 2023,94,60,0
07:10:25 PM May 01 2023,93,61,0
07:10:29 PM May 01 2023,93,61,0
07:10:33 PM May 01 2023,93,61,0
07:10:37 PM May 01 2023,93,61,0
07:10:41 PM May 01 2023,93,62,0
07:10:45 PM May 01 2023,93,61,0
07:10:49 PM May 01 2023,93,61,0
07:10:53 PM May 01 2023,93,61,0
07:10:57 PM May 01 2023,92,60,0
07:11:01 PM May 01 2023,92,60,0
07:11:05 PM May 01 2023,92,59,0
07:11:09 PM May 01 2023,92,59,0
07:11:13 PM May 01 2023,93,59,0
07:11:17 PM May 01 2023,93,60,0
07:11:21 PM May 01 2023,93,61,0
07:11:25 PM May 01 2023,93,61,0
07:11:29 PM May 01 2023,92,61,0
07:11:33 PM May 01 2023,92,62,0
07:11:37 PM May 01 2023,91,62,0
07:11:41 PM May 01 2023,91,62,0
07:11:45 PM May 01 2023,91,63,0
07:11:49 PM May 01 2023,91,62,0
07:11:53 PM May 01 2023,91,61,0
07:11:57 PM May 01 2023,91,60,0
07:12:01 PM May 01 2023,91,60,0
07:12:05 PM May 01 2023,91,58,0
07:12:09 PM May 01 2023,91,58,0
07:12:13 PM May 01 2023,91,58,0
07:12:17 PM May 01 2023,92,58,1
07:12:21 PM May 01 2023,94,57,0
07:12:25 PM May 01 2023,95,58,2
07:12:29 PM May 01 2023,94,60,0
07:12:33 PM May 01 2023,94,62,0
07:12:37 PM May 01 2023,93,62,0
07:12:41 PM May 01 2023,93,62,0
07:12:45 PM May 01 2023,93,62,0
07:12:49 PM May 01 2023,92,62,0
07:12:53 PM May 01 2023,92,62,0
07:12:57 PM May 01 2023,92,62,0
07:13:01 PM May 01 2023,91,61,3
07:13:05 PM May 01 2023,91,61,0
07:13:09 PM May 01 2023,91,61,0
07:13:13 PM May 01 2023,90,61,22
07:13:17 PM May 01 2023,90,61,22
07:13:21 PM May 01 2023,91,62,0
07:13:25 PM May 01 2023,91,62,0
07:13:29 PM May 01 2023,90,63,2
07:13:33 PM May 01 2023,90,61,1
07:13:37 PM May 01 2023,90,62,0
07:13:41 PM May 01 2023,91,62,0
07:13:45 PM May 01 2023,92,59,0
07:13:49 PM May 01 2023,93,59,1
07:13:53 PM May 01 2023,94,59,0
07:13:57 PM May 01 2023,95,59,0
07:14:01 PM May 01 2023,95,59,7
07:14:05 PM May 01 2023,95,59,11
07:14:09 PM May 01 2023,94,57,0
07:14:13 PM May 01 2023,94,57,0
07:14:17 PM May 01 2023,94,58,0
07:14:21 PM May 01 2023,95,58,0
07:14:25 PM May 01 2023,95,58,0
07:14:29 PM May 01 2023,95,58,0
07:14:33 PM May 01 2023,95,59,0
07:14:37 PM May 01 2023,94,59,0
07:14:41 PM May 01 2023,94,59,0
07:14:45 PM May 01 2023,94,59,0
07:14:49 PM May 01 2023,94,60,0
07:14:53 PM May 01 2023,94,60,1
07:14:57 PM May 01 2023,94,60,0
07:15:01 PM May 01 2023,94,60,1
07:15:05 PM May 01 2023,94,60,0
07:15:09 PM May 01 2023,94,60,0
07:15:13 PM May 01 2023,94,61,0
07:15:17 PM May 01 2023,94,61,0
07:15:21 PM May 01 2023,93,61,0
07:15:25 PM May 01 2023,93,61,0
07:15:29 PM May 01 2023,93,61,0
07:15:33 PM May 01 2023,93,60,0
07:15:37 PM May 01 2023,93,59,0
07:15:41 PM May 01 2023,94,59,0
07:15:45 PM May 01 2023,94,60,0
07:15:49 PM May 01 2023,93,58,0
07:15:53 PM May 01 2023,93,59,0
07:15:57 PM May 01 2023,93,60,0
07:16:01 PM May 01 2023,93,60,0
07:16:05 PM May 01 2023,93,61,0
07:16:09 PM May 01 2023,93,62,0
07:16:13 PM May 01 2023,93,62,0
07:16:17 PM May 01 2023,93,61,0
07:16:21 PM May 01 2023,93,60,0
07:16:25 PM May 01 2023,92,59,0
07:16:29 PM May 01 2023,92,59,0
07:16:33 PM May 01 2023,91,59,0
07:16:37 PM May 01 2023,91,58,0
07:16:41 PM May 01 2023,92,57,0
07:16:45 PM May 01 2023,93,57,1
07:16:49 PM May 01 2023,93,58,0
07:16:53 PM May 01 2023,93,59,0
07:16:57 PM May 01 2023,93,59,0
07:17:01 PM May 01 2023,93,59,0
07:17:05 PM May 01 2023,93,60,0
07:17:09 PM May 01 2023,92,61,0
07:17:13 PM May 01 2023,92,61,0
07:17:17 PM May 01 2023,92,60,0
07:17:21 PM May 01 2023,91,60,0
07:17:25 PM May 01 2023,91,59,0
07:17:29 PM May 01 2023,91,59,0
07:17:33 PM May 01 2023,91,59,0
07:17:37 PM May 01 2023,91,60,0
07:17:41 PM May 01 2023,91,61,0
07:17:45 PM May 01 2023,91,61,0
07:17:49 PM May 01 2023,90,61,2
