Time,Oxygen Level,Pulse Rate,Motion
12:43:45 AM Jun 08 2023,97,61,0
12:43:49 AM Jun 08 2023,97,61,0
12:43:53 AM Jun 08 2023,97,61,47
12:43:57 AM Jun 08 2023,97,61,43
12:44:01 AM Jun 08 2023,97,61,5
12:44:05 AM Jun 08 2023,97,61,0
12:44:09 AM Jun 08 2023,99,76,0
12:44:13 AM Jun 08 2023,99,82,0
12:44:17 AM Jun 08 2023,99,81,5
12:44:21 AM Jun 08 2023,99,81,53
12:44:25 AM Jun 08 2023,99,81,13
12:44:29 AM Jun 08 2023,99,81,4
12:44:33 AM Jun 08 2023,99,81,8
12:44:37 AM Jun 08 2023,99,81,4
12:44:41 AM Jun 08 2023,99,81,0
12:44:45 AM Jun 08 2023,97,81,0
12:44:49 AM Jun 08 2023,97,70,1
12:44:53 AM Jun 08 2023,97,67,2
12:44:57 AM Jun 08 2023,97,67,0
12:45:01 AM Jun 08 2023,97,63,0
12:45:05 AM Jun 08 2023,97,60,0
12:45:09 AM Jun 08 2023,97,63,0
12:45:13 AM Jun 08 2023,97,65,0
12:45:17 AM Jun 08 2023,97,68,0
12:45:21 AM Jun 08 2023,97,68,0
12:45:25 AM Jun 08 2023,98,69,0
12:45:29 AM Jun 08 2023,98,67,0
12:45:33 AM Jun 08 2023,97,67,0
12:45:37 AM Jun 08 2023,97,67,0
12:45:41 AM Jun 08 2023,97,68,0
12:45:45 AM Jun 08 2023,97,67,0
12:45:49 AM Jun 08 2023,97,69,0
12:45:53 AM Jun 08 2023,98,68,0
12:45:57 AM Jun 08 2023,98,68,0
12:46:01 AM Jun 08 2023,98,70,0
12:46:05 AM Jun 08 2023,98,72,0
12:46:09 AM Jun 08 2023,97,70,0
12:46:13 AM Jun 08 2023,97,70,0
12:46:17 AM Jun 08 2023,97,70,7
12:46:21 AM Jun 08 2023,97,70,0
12:46:25 AM Jun 08 2023,99,69,0
12:46:29 AM Jun 08 2023,99,70,0
12:46:33 AM Jun 08 2023,99,70,0
12:46:37 AM Jun 08 2023,99,70,0
12:46:41 AM Jun 08 2023,98,69,0
12:46:45 AM Jun 08 2023,98,69,0
12:46:49 AM Jun 08 2023,98,69,0
12:46:53 AM Jun 08 2023,98,68,0
12:46:57 AM Jun 08 2023,98,68,0
12:47:01 AM Jun 08 2023,98,67,0
12:47:05 AM Jun 08 2023,98,68,0
12:47:09 AM Jun 08 2023,98,68,0
12:47:13 AM Jun 08 2023,98,68,0
12:47:17 AM Jun 08 2023,98,68,0
12:47:21 AM Jun 08 2023,98,68,0
12:47:25 AM Jun 08 2023,97,68,0
12:47:29 AM Jun 08 2023,97,66,0
12:47:33 AM Jun 08 2023,97,67,0
12:47:37 AM Jun 08 2023,97,68,0
12:47:41 AM Jun 08 2023,97,69,0
12:47:45 AM Jun 08 2023,98,69,0
12:47:49 AM Jun 08 2023,98,69,0
12:47:53 AM Jun 08 2023,98,69,0
12:47:57 AM Jun 08 2023,98,69,0
12:48:01 AM Jun 08 2023,98,70,0
12:48:05 AM Jun 08 2023,98,71,0
12:48:09 AM Jun 08 2023,98,71,0
12:48:13 AM Jun 08 2023,98,69,0
12:48:17 AM Jun 08 2023,98,69,0
12:48:21 AM Jun 08 2023,98,70,0
12:48:25 AM Jun 08 2023,98,70,0
